transaction_id,timestamp,transaction_amount_inr,time_of_day,fraud_status
TX00001,2026-03-02 08:09,3258.54,Morning,Legitimate
TX00002,2026-07-04 03:24,1720.66,,Legitimate
TX00003,2026-04-28 00:31,1182.08,Night,Legitimate
TX00004,2026-04-11 04:46,3416.84,Night,Legitimate
TX00005,2026-05-30 15:57,3014.57,Afternoon,Legitimate
TX00006,2026-04-29 12:45,12639.01,Afternoon,Legitimate
TX00007,2026-03-17 16:09,11322.37,Afternoon,Legitimate
TX00008,2026-07-02 10:56,3769.46,Morning,Legitimate
TX00009,2026-04-02 09:19,3090.55,Morning,Legitimate
TX00010,2026-01-03 01:56,10089.79,Night,Legitimate
TX00011,2026-06-25 02:51,18288.25,Night,Legitimate
TX00012,2026-06-05 02:03,3606.73,Night,Legitimate
TX00013,2026-02-01 12:53,9782.68,Afternoon,Legitimate
TX00014,2026-05-07 20:17,4121.79,Evening,Fraud
TX00015,2026-01-23 22:51,6175.85,Evening,Legitimate
TX00016,2026-06-30 18:17,3000.66,Evening,Legitimate
TX00017,2026-03-07 18:03,22383.4,Evening,Legitimate
TX00018,2026-07-06 06:13,3905.03,Morning,Legitimate
TX00019,2026-05-21 00:34,2964.17,Night,Legitimate
TX00020,2026-07-16 23:13,2980.5,Evening,Legitimate
TX00021,2026-07-14 10:01,4154.01,Morning,Legitimate
TX00022,2026-06-01 03:10,8977.41,Night,Legitimate
TX00023,2026-04-22 13:51,4719.89,Afternoon,Legitimate
TX00024,2026-01-06 23:50,65680.63,Evening,Fraud
TX00025,2026-07-15 10:05,7108.66,Morning,Legitimate
TX00026,2026-01-03 20:45,22748.54,Evening,Legitimate
TX00027,2026-05-30 05:17,14226.41,Night,Legitimate
TX00028,2026-06-23 21:45,1951.14,Evening,Legitimate
TX00029,2026-07-24 23:13,,Evening,Legitimate
TX00030,2026-02-11 11:58,33257.16,Morning,Legitimate
TX00031,2026-03-26 16:40,36636.66,Afternoon,Legitimate
TX00032,2026-02-05 23:21,8688.17,Evening,Legitimate
TX00033,2026-03-10 11:25,6416.42,Morning,Legitimate
TX00034,2026-01-11 15:25,4143.86,Afternoon,Legitimate
TX00035,2026-01-11 04:43,3365.24,Night,Legitimate
TX00036,2026-07-11 13:54,1870.76,Afternoon,Legitimate
TX00037,2026-02-10 07:46,2150.82,Morning,Fraud
TX00038,2026-06-24 04:44,3984.7,Night,Legitimate
TX00039,2026-05-09 22:36,3040.34,Evening,Legitimate
TX00040,2026-05-28 09:37,12323.14,Morning,Legitimate
TX00041,2026-02-11 22:18,7688.62,Evening,Legitimate
TX00042,2026-07-06 05:45,12906.61,Night,Fraud
TX00043,2026-07-30 08:44,13000.86,Morning,Legitimate
TX00044,2026-03-02 10:52,12272.22,Morning,Legitimate
TX00045,2026-03-26 04:40,8903.0,Night,Legitimate
TX00046,2026-04-27 15:02,9789.9,Afternoon,Legitimate
TX00047,2026-02-13 12:01,3626.88,Afternoon,Legitimate
TX00048,2026-04-08 16:47,1321.46,Afternoon,Legitimate
TX00049,2026-05-17 04:35,4233.32,Night,Legitimate
TX00050,2026-07-02 11:00,2208.91,Morning,Legitimate
TX00051,,2487.73,Afternoon,Legitimate
TX00052,2026-03-15 17:22,5381.83,Afternoon,Legitimate
TX00053,2026-02-09 14:13,19739.52,Afternoon,Legitimate
TX00054,2026-06-06 00:49,3105.18,Night,Fraud
TX00055,2026-07-13 19:12,13483.77,Evening,Legitimate
TX00056,2026-07-22 03:12,4271.46,Night,Legitimate
TX00057,2026-01-14 01:10,4997.53,Night,Legitimate
TX00058,2026-05-07 22:39,19650.54,Evening,Legitimate
TX00059,2026-06-20 11:57,9063.77,Morning,Legitimate
TX00060,2026-07-28 00:25,16471.44,Night,Legitimate
TX00061,2026-04-24 16:28,3843.07,Afternoon,Legitimate
TX00062,2026-06-29 22:09,5096.3,Evening,Legitimate
TX00063,2026-04-15 15:32,17554.15,Afternoon,Legitimate
TX00064,2026-02-03 00:55,6604.33,Night,Legitimate
TX00065,2026-03-02 06:46,1300.55,Morning,Legitimate
TX00066,2026-02-22 11:36,3072.5,Morning,Legitimate
TX00067,2026-04-16 07:16,950.52,Morning,Legitimate
TX00068,2026-06-07 09:18,2898.56,Morning,Legitimate
TX00069,2026-04-29 08:08,11562.82,Morning,Fraud
TX00070,2026-04-22 02:41,5290.0,Night,Legitimate
TX00071,2026-03-16 08:58,17058.18,Morning,Legitimate
TX00072,2026-06-12 07:06,15906.59,Morning,Legitimate
TX00073,2026-01-23 08:59,3095.12,Morning,Legitimate
TX00074,2026-05-08 05:02,1479.6,Night,Legitimate
TX00075,2026-04-05 18:39,25541.77,Evening,Legitimate
TX00076,2026-07-21 14:08,1970.84,Afternoon,Legitimate
TX00077,2026-07-27 20:59,4010.08,Evening,Legitimate
TX00078,2026-02-15 14:50,87857.28,Afternoon,Legitimate
TX00079,2026-02-10 09:23,2322.92,Morning,Legitimate
